Date, Open, High, Low, Close
12/13/24, 1.051, 1.051, 1.035, 1.040
12/12/24, 1.072, 1.085, 1.047, 1.051
12/11/24, 1.066, 1.076, 1.066, 1.072
12/10/24, 1.042, 1.074, 1.042, 1.066
12/09/24, 1.053, 1.053, 1.035, 1.042
12/06/24, 1.073, 1.074, 1.052, 1.053
12/05/24, 1.053, 1.074, 1.053, 1.073
12/04/24, 1.081, 1.081, 1.049, 1.053
12/03/24, 1.077, 1.091, 1.077, 1.081
12/02/24, 1.053, 1.086, 1.053, 1.077
11/29/24, 1.057, 1.070, 1.045, 1.053
11/28/24, 1.075, 1.075, 1.054, 1.057
11/27/24, 1.070, 1.079, 1.069, 1.075
11/26/24, 1.074, 1.074, 1.059, 1.070
11/25/24, 1.080, 1.083, 1.071, 1.074
11/22/24, 1.096, 1.105, 1.079, 1.080
11/21/24, 1.069, 1.099, 1.069, 1.096
11/20/24, 1.065, 1.078, 1.062, 1.069
11/19/24, 1.076, 1.076, 1.062, 1.065
11/18/24, 1.075, 1.082, 1.067, 1.076
11/15/24, 1.063, 1.085, 1.063, 1.075
11/14/24, 1.042, 1.065, 1.042, 1.063
11/13/24, 1.009, 1.055, 1.009, 1.042
11/12/24, 1.001, 1.017, 0.997, 1.009
11/11/24, 1.006, 1.009, 0.997, 1.001
11/08/24, 1.006, 1.010, 0.993, 1.006
11/07/24, 0.981, 1.018, 0.981, 1.006
11/06/24, 0.929, 0.986, 0.923, 0.981
11/05/24, 0.945, 0.950, 0.928, 0.929
11/03/24, 0.945, 0.945, 0.945, 0.945
11/01/24, 0.941, 0.962, 0.941, 0.945
10/31/24, 0.953, 0.966, 0.938, 0.941
10/30/24, 0.977, 0.977, 0.951, 0.953
10/29/24, 0.975, 0.979, 0.971, 0.977
10/28/24, 0.952, 0.977, 0.945, 0.975
10/25/24, 0.958, 0.961, 0.948, 0.952
10/24/24, 0.979, 0.984, 0.956, 0.958
10/23/24, 0.980, 0.988, 0.977, 0.979
10/22/24, 0.962, 0.987, 0.962, 0.980
10/21/24, 0.970, 0.970, 0.959, 0.962
10/18/24, 0.965, 0.980, 0.965, 0.970
10/17/24, 0.955, 0.969, 0.954, 0.965
10/16/24, 0.976, 0.976, 0.951, 0.955
10/15/24, 0.952, 0.977, 0.952, 0.976
10/13/24, 0.952, 0.952, 0.952, 0.952
10/11/24, 0.959, 0.959, 0.945, 0.952
10/10/24, 0.934, 0.961, 0.930, 0.959
10/09/24, 0.926, 0.937, 0.926, 0.934
10/08/24, 0.926, 0.937, 0.922, 0.926
10/07/24, 0.885, 0.933, 0.885, 0.926
10/04/24, 0.827, 0.888, 0.827, 0.885
10/03/24, 0.820, 0.836, 0.817, 0.827
10/02/24, 0.853, 0.853, 0.817, 0.820
10/01/24, 0.857, 0.859, 0.845, 0.853
09/30/24, 0.807, 0.865, 0.807, 0.857
09/27/24, 0.831, 0.863, 0.796, 0.807
09/26/24, 0.813, 0.837, 0.813, 0.831
09/25/24, 0.811, 0.817, 0.803, 0.813
09/24/24, 0.864, 0.864, 0.809, 0.811
09/23/24, 0.864, 0.864, 0.864, 0.864
09/20/24, 0.854, 0.867, 0.839, 0.864
09/19/24, 0.827, 0.857, 0.827, 0.854
09/18/24, 0.830, 0.837, 0.820, 0.827
09/17/24, 0.846, 0.846, 0.824, 0.830
09/15/24, 0.846, 0.846, 0.846, 0.846
09/13/24, 0.866, 0.866, 0.840, 0.846
09/12/24, 0.853, 0.877, 0.853, 0.866
09/11/24, 0.895, 0.895, 0.850, 0.853
09/10/24, 0.895, 0.898, 0.891, 0.895
09/09/24, 0.850, 0.902, 0.849, 0.895
09/06/24, 0.875, 0.884, 0.848, 0.850
09/05/24, 0.890, 0.890, 0.868, 0.875
09/04/24, 0.926, 0.926, 0.885, 0.890
09/03/24, 0.912, 0.932, 0.912, 0.926
09/02/24, 0.893, 0.913, 0.893, 0.912
08/30/24, 0.890, 0.909, 0.890, 0.893
08/29/24, 0.895, 0.911, 0.887, 0.890
08/28/24, 0.880, 0.902, 0.880, 0.895
08/27/24, 0.885, 0.893, 0.878, 0.880
08/26/24, 0.896, 0.902, 0.879, 0.885
08/23/24, 0.879, 0.905, 0.879, 0.896
08/22/24, 0.866, 0.882, 0.864, 0.879
08/21/24, 0.892, 0.892, 0.863, 0.866
08/20/24, 0.890, 0.900, 0.883, 0.892
08/19/24, 0.875, 0.907, 0.875, 0.890
08/16/24, 0.838, 0.889, 0.838, 0.875
08/15/24, 0.814, 0.841, 0.809, 0.838
08/14/24, 0.847, 0.847, 0.809, 0.814
08/13/24, 0.858, 0.866, 0.845, 0.847
08/11/24, 0.858, 0.858, 0.858, 0.858
08/09/24, 0.833, 0.879, 0.833, 0.858
08/08/24, 0.880, 0.903, 0.831, 0.833
08/07/24, 0.894, 0.918, 0.855, 0.880
08/06/24, 0.754, 0.956, 0.754, 0.894
08/05/24, 0.959, 0.959, 0.748, 0.754
08/02/24, 1.035, 1.035, 0.944, 0.959
08/01/24, 1.061, 1.061, 1.024, 1.035
07/31/24, 0.997, 1.074, 0.997, 1.061
07/30/24, 1.028, 1.028, 0.994, 0.997
07/29/24, 1.062, 1.065, 1.020, 1.028
07/26/24, 1.075, 1.076, 1.045, 1.062
07/25/24, 1.077, 1.091, 1.058, 1.075
07/24/24, 1.063, 1.082, 1.063, 1.077
07/23/24, 1.065, 1.079, 1.058, 1.063
07/22/24, 1.047, 1.065, 1.039, 1.065
07/18/24, 1.032, 1.069, 1.030, 1.042
07/17/24, 1.024, 1.053, 1.006, 1.032
07/16/24, 1.050, 1.059, 1.022, 1.024
07/14/24, 1.050, 1.050, 1.050, 1.050
07/12/24, 1.084, 1.084, 1.046, 1.050
07/11/24, 1.089, 1.094, 1.083, 1.084
07/10/24, 1.076, 1.092, 1.076, 1.089
07/09/24, 1.091, 1.097, 1.073, 1.076
07/08/24, 1.070, 1.092, 1.070, 1.091
07/05/24, 1.083, 1.090, 1.067, 1.070
07/04/24, 1.102, 1.102, 1.080, 1.083
07/03/24, 1.092, 1.109, 1.092, 1.102
07/02/24, 1.064, 1.097, 1.064, 1.092
07/01/24, 1.048, 1.087, 1.048, 1.064
06/28/24, 1.074, 1.093, 1.043, 1.048
06/27/24, 1.024, 1.083, 1.024, 1.074
06/26/24, 1.000, 1.042, 1.000, 1.024
06/25/24, 0.991, 1.008, 0.991, 1.000
06/24/24, 0.977, 1.002, 0.977, 0.991
06/21/24, 0.956, 0.990, 0.956, 0.977
06/20/24, 0.936, 0.960, 0.935, 0.956
06/19/24, 0.947, 0.956, 0.927, 0.936
06/18/24, 0.932, 0.952, 0.932, 0.947
06/17/24, 0.938, 0.938, 0.924, 0.932
06/14/24, 0.972, 0.972, 0.903, 0.938
06/13/24, 0.989, 0.989, 0.965, 0.972
06/12/24, 1.017, 1.017, 0.983, 0.989
06/11/24, 1.039, 1.039, 1.015, 1.017
06/10/24, 0.973, 1.041, 0.973, 1.039
06/07/24, 0.966, 0.988, 0.959, 0.973
06/06/24, 1.005, 1.005, 0.959, 0.966
06/05/24, 1.037, 1.037, 0.989, 1.005
06/04/24, 1.068, 1.068, 1.016, 1.037
06/03/24, 1.075, 1.077, 1.065, 1.068
05/31/24, 1.060, 1.079, 1.058, 1.075
05/30/24, 1.080, 1.102, 1.056, 1.060
05/29/24, 1.040, 1.087, 1.040, 1.080
05/28/24, 1.025, 1.043, 1.024, 1.040
05/27/24, 1.010, 1.030, 1.006, 1.025
05/24/24, 1.003, 1.013, 1.001, 1.010
05/23/24, 1.001, 1.006, 0.994, 1.003
05/22/24, 0.985, 1.014, 0.981, 1.001
05/21/24, 0.980, 0.986, 0.976, 0.985
05/20/24, 0.952, 0.982, 0.952, 0.980
05/17/24, 0.926, 0.956, 0.926, 0.952
05/16/24, 0.954, 0.954, 0.920, 0.926
05/15/24, 0.966, 0.966, 0.953, 0.954
05/14/24, 0.941, 0.967, 0.941, 0.966
05/13/24, 0.909, 0.952, 0.909, 0.941
05/10/24, 0.913, 0.919, 0.907, 0.909
05/09/24, 0.883, 0.923, 0.883, 0.913
05/08/24, 0.872, 0.886, 0.860, 0.883
05/07/24, 0.906, 0.906, 0.871, 0.872
05/05/24, 0.906, 0.906, 0.906, 0.906
05/02/24, 0.896, 0.908, 0.885, 0.906
05/01/24, 0.874, 0.896, 0.874, 0.896
04/30/24, 0.928, 0.928, 0.869, 0.874
04/28/24, 0.928, 0.928, 0.928, 0.928
04/26/24, 0.898, 0.932, 0.891, 0.928
04/25/24, 0.891, 0.901, 0.888, 0.898
04/24/24, 0.886, 0.894, 0.879, 0.891
04/23/24, 0.886, 0.894, 0.877, 0.886
04/22/24, 0.837, 0.890, 0.837, 0.886
04/19/24, 0.871, 0.877, 0.833, 0.837
04/18/24, 0.887, 0.887, 0.867, 0.871
04/17/24, 0.872, 0.891, 0.872, 0.887
04/16/24, 0.866, 0.881, 0.866, 0.872
04/15/24, 0.867, 0.867, 0.847, 0.866
04/12/24, 0.857, 0.868, 0.844, 0.867
04/11/24, 0.798, 0.868, 0.798, 0.857
04/10/24, 0.784, 0.800, 0.784, 0.798
04/09/24, 0.791, 0.792, 0.782, 0.784
04/08/24, 0.771, 0.792, 0.771, 0.791
04/05/24, 0.778, 0.783, 0.768, 0.771
04/04/24, 0.767, 0.781, 0.765, 0.778
04/03/24, 0.752, 0.783, 0.752, 0.767
04/02/24, 0.742, 0.757, 0.733, 0.752
04/01/24, 0.732, 0.751, 0.732, 0.742
03/29/24, 0.712, 0.733, 0.712, 0.732
03/28/24, 0.724, 0.727, 0.704, 0.712
03/27/24, 0.739, 0.747, 0.720, 0.724
03/26/24, 0.736, 0.746, 0.736, 0.739
03/25/24, 0.744, 0.744, 0.725, 0.736
03/22/24, 0.740, 0.752, 0.740, 0.744
03/21/24, 0.732, 0.748, 0.726, 0.740
03/19/24, 0.763, 0.770, 0.728, 0.732
03/18/24, 0.793, 0.796, 0.761, 0.763
03/15/24, 0.776, 0.801, 0.776, 0.793
03/14/24, 0.761, 0.786, 0.761, 0.776
03/13/24, 0.768, 0.776, 0.760, 0.761
03/12/24, 0.767, 0.778, 0.766, 0.768
03/11/24, 0.735, 0.770, 0.735, 0.767
03/08/24, 0.734, 0.745, 0.730, 0.735
03/07/24, 0.718, 0.738, 0.718, 0.734
03/06/24, 0.708, 0.722, 0.706, 0.718
03/05/24, 0.716, 0.730, 0.703, 0.708
03/04/24, 0.720, 0.721, 0.707, 0.716
03/01/24, 0.714, 0.726, 0.713, 0.720
02/29/24, 0.698, 0.729, 0.694, 0.714
02/28/24, 0.695, 0.702, 0.695, 0.698
02/27/24, 0.691, 0.708, 0.691, 0.695
02/26/24, 0.721, 0.721, 0.680, 0.691
02/22/24, 0.726, 0.735, 0.706, 0.721
02/21/24, 0.733, 0.736, 0.723, 0.726
02/20/24, 0.730, 0.747, 0.726, 0.733
02/19/24, 0.730, 0.736, 0.725, 0.730
02/16/24, 0.730, 0.740, 0.724, 0.730
02/15/24, 0.760, 0.760, 0.718, 0.730
02/14/24, 0.730, 0.770, 0.730, 0.760
02/13/24, 0.724, 0.732, 0.723, 0.730
02/11/24, 0.724, 0.724, 0.724, 0.724
02/09/24, 0.699, 0.725, 0.699, 0.724
02/08/24, 0.710, 0.735, 0.697, 0.699
02/07/24, 0.723, 0.723, 0.707, 0.710
02/06/24, 0.720, 0.735, 0.717, 0.723
02/05/24, 0.661, 0.723, 0.661, 0.720
02/02/24, 0.695, 0.695, 0.617, 0.661
02/01/24, 0.736, 0.746, 0.692, 0.695
01/31/24, 0.712, 0.754, 0.712, 0.736
01/30/24, 0.725, 0.725, 0.709, 0.712
01/29/24, 0.720, 0.729, 0.714, 0.725
01/26/24, 0.749, 0.749, 0.710, 0.720
01/25/24, 0.723, 0.754, 0.723, 0.749
01/24/24, 0.637, 0.743, 0.637, 0.723
01/23/24, 0.654, 0.673, 0.635, 0.637
01/22/24, 0.669, 0.671, 0.653, 0.654
01/19/24, 0.655, 0.671, 0.642, 0.669
01/18/24, 0.609, 0.655, 0.609, 0.655
01/17/24, 0.597, 0.617, 0.597, 0.609
01/16/24, 0.557, 0.598, 0.557, 0.597
01/15/24, 0.591, 0.591, 0.554, 0.557
01/12/24, 0.606, 0.606, 0.585, 0.591
01/11/24, 0.587, 0.625, 0.587, 0.606
01/10/24, 0.587, 0.591, 0.566, 0.587
01/09/24, 0.606, 0.609, 0.585, 0.587
01/07/24, 0.606, 0.606, 0.606, 0.606
01/05/24, 0.627, 0.631, 0.603, 0.606
01/04/24, 0.625, 0.630, 0.607, 0.627
01/02/24, 0.625, 0.625, 0.625, 0.625
01/01/24, 0.625, 0.625, 0.625, 0.625
12/31/23, 0.625, 0.625, 0.625, 0.625
12/29/23, 0.593, 0.626, 0.593, 0.625
12/28/23, 0.599, 0.602, 0.587, 0.593
12/27/23, 0.633, 0.633, 0.596, 0.599
12/26/23, 0.616, 0.636, 0.616, 0.633
12/25/23, 0.626, 0.626, 0.606, 0.616
12/22/23, 0.592, 0.631, 0.592, 0.626
12/21/23, 0.563, 0.594, 0.560, 0.592
12/20/23, 0.634, 0.634, 0.550, 0.563
12/19/23, 0.669, 0.689, 0.623, 0.634
12/18/23, 0.710, 0.712, 0.667, 0.669
12/15/23, 0.676, 0.713, 0.676, 0.710
12/14/23, 0.690, 0.696, 0.628, 0.676
12/13/23, 0.738, 0.738, 0.689, 0.690
12/12/23, 0.779, 0.780, 0.699, 0.738
12/11/23, 0.774, 0.801, 0.762, 0.779
12/08/23, 0.756, 0.807, 0.756, 0.774
12/07/23, 0.648, 0.763, 0.648, 0.756
12/06/23, 0.673, 0.673, 0.625, 0.648
12/05/23, 0.691, 0.706, 0.666, 0.673
12/04/23, 0.700, 0.702, 0.660, 0.691
12/01/23, 0.674, 0.718, 0.674, 0.700
11/30/23, 0.681, 0.691, 0.641, 0.674
11/29/23, 0.755, 0.755, 0.670, 0.681
11/28/23, 0.775, 0.775, 0.753, 0.755
11/27/23, 0.778, 0.785, 0.773, 0.775
11/24/23, 0.731, 0.779, 0.731, 0.778
11/22/23, 0.699, 0.732, 0.699, 0.731
11/21/23, 0.744, 0.744, 0.697, 0.699
11/20/23, 0.748, 0.763, 0.742, 0.744
11/17/23, 0.790, 0.790, 0.720, 0.748
11/16/23, 0.797, 0.806, 0.785, 0.790
11/15/23, 0.856, 0.856, 0.776, 0.797
11/14/23, 0.877, 0.880, 0.852, 0.856
11/13/23, 0.857, 0.899, 0.857, 0.877
11/10/23, 0.842, 0.866, 0.842, 0.857
11/09/23, 0.849, 0.849, 0.835, 0.842
11/08/23, 0.877, 0.877, 0.847, 0.849
11/07/23, 0.874, 0.890, 0.874, 0.877
11/06/23, 0.916, 0.916, 0.871, 0.874
11/02/23, 0.959, 0.959, 0.915, 0.916
11/01/23, 0.949, 0.976, 0.942, 0.959
10/31/23, 0.897, 0.961, 0.897, 0.949
10/30/23, 0.876, 0.898, 0.876, 0.897
10/27/23, 0.885, 0.885, 0.870, 0.876
10/26/23, 0.861, 0.890, 0.861, 0.885
10/25/23, 0.854, 0.868, 0.848, 0.861
10/24/23, 0.874, 0.874, 0.840, 0.854
10/23/23, 0.844, 0.875, 0.844, 0.874
10/20/23, 0.847, 0.850, 0.836, 0.844
10/19/23, 0.807, 0.849, 0.807, 0.847
10/18/23, 0.784, 0.819, 0.784, 0.807
10/17/23, 0.755, 0.790, 0.755, 0.784
10/16/23, 0.759, 0.759, 0.751, 0.755
10/13/23, 0.755, 0.779, 0.755, 0.759
10/12/23, 0.779, 0.779, 0.751, 0.755
10/11/23, 0.774, 0.782, 0.763, 0.779
10/10/23, 0.802, 0.802, 0.767, 0.774
10/08/23, 0.802, 0.802, 0.802, 0.802
10/06/23, 0.805, 0.809, 0.800, 0.802
10/05/23, 0.808, 0.814, 0.793, 0.805
10/04/23, 0.764, 0.813, 0.764, 0.808
10/03/23, 0.776, 0.786, 0.755, 0.764
10/02/23, 0.771, 0.785, 0.771, 0.776
09/29/23, 0.761, 0.778, 0.759, 0.771
09/28/23, 0.740, 0.765, 0.740, 0.761
09/27/23, 0.746, 0.747, 0.732, 0.740
09/26/23, 0.731, 0.750, 0.731, 0.746
09/25/23, 0.749, 0.749, 0.730, 0.731
09/22/23, 0.753, 0.757, 0.738, 0.749
09/21/23, 0.725, 0.755, 0.725, 0.753
09/20/23, 0.719, 0.732, 0.719, 0.725
09/19/23, 0.710, 0.723, 0.710, 0.719
09/17/23, 0.710, 0.710, 0.710, 0.710
09/15/23, 0.709, 0.719, 0.701, 0.710
09/14/23, 0.710, 0.720, 0.703, 0.709
09/13/23, 0.710, 0.715, 0.652, 0.710
09/12/23, 0.705, 0.724, 0.705, 0.710
09/11/23, 0.651, 0.712, 0.651, 0.705
09/08/23, 0.658, 0.658, 0.643, 0.651
09/07/23, 0.656, 0.666, 0.652, 0.658
09/06/23, 0.658, 0.666, 0.654, 0.656
09/05/23, 0.646, 0.660, 0.646, 0.658
09/04/23, 0.632, 0.653, 0.632, 0.646
09/01/23, 0.647, 0.647, 0.627, 0.632
08/31/23, 0.656, 0.658, 0.596, 0.647
08/30/23, 0.646, 0.657, 0.646, 0.656
08/29/23, 0.667, 0.667, 0.643, 0.646
08/28/23, 0.660, 0.669, 0.658, 0.667
08/25/23, 0.649, 0.662, 0.649, 0.660
08/24/23, 0.677, 0.677, 0.646, 0.649
08/23/23, 0.671, 0.684, 0.621, 0.677
08/22/23, 0.655, 0.674, 0.655, 0.671
08/21/23, 0.631, 0.657, 0.631, 0.655
08/18/23, 0.654, 0.654, 0.581, 0.631
08/17/23, 0.632, 0.659, 0.593, 0.654
08/16/23, 0.632, 0.638, 0.621, 0.632
08/15/23, 0.619, 0.635, 0.615, 0.632
08/14/23, 0.589, 0.625, 0.589, 0.619
08/10/23, 0.565, 0.594, 0.565, 0.589
08/09/23, 0.611, 0.611, 0.564, 0.565
08/08/23, 0.628, 0.640, 0.603, 0.611
08/07/23, 0.646, 0.646, 0.623, 0.628
08/04/23, 0.654, 0.656, 0.643, 0.646
08/03/23, 0.628, 0.658, 0.628, 0.654
08/02/23, 0.594, 0.632, 0.594, 0.628
08/01/23, 0.603, 0.613, 0.593, 0.594
07/31/23, 0.550, 0.615, 0.550, 0.603
07/28/23, 0.441, 0.575, 0.441, 0.550
07/27/23, 0.448, 0.462, 0.438, 0.441
07/26/23, 0.467, 0.471, 0.446, 0.448
07/25/23, 0.451, 0.472, 0.451, 0.467
07/24/23, 0.466, 0.472, 0.450, 0.451
07/21/23, 0.460, 0.489, 0.424, 0.466
07/20/23, 0.467, 0.470, 0.457, 0.460
07/19/23, 0.487, 0.487, 0.464, 0.467
07/18/23, 0.480, 0.488, 0.474, 0.487
07/17/23, 0.480, 0.480, 0.480, 0.480
07/14/23, 0.468, 0.495, 0.468, 0.480
07/13/23, 0.480, 0.480, 0.464, 0.468
07/12/23, 0.456, 0.482, 0.451, 0.480
07/11/23, 0.473, 0.473, 0.452, 0.456
07/10/23, 0.436, 0.474, 0.436, 0.473
07/07/23, 0.412, 0.447, 0.378, 0.436
07/06/23, 0.387, 0.413, 0.387, 0.412
07/05/23, 0.375, 0.402, 0.335, 0.387
07/04/23, 0.406, 0.412, 0.374, 0.375
07/03/23, 0.400, 0.410, 0.394, 0.406
06/30/23, 0.384, 0.403, 0.384, 0.400
06/29/23, 0.388, 0.392, 0.378, 0.384
06/28/23, 0.374, 0.396, 0.374, 0.388
06/27/23, 0.353, 0.377, 0.353, 0.374
06/26/23, 0.372, 0.374, 0.352, 0.353
06/23/23, 0.379, 0.388, 0.366, 0.372
06/22/23, 0.374, 0.382, 0.367, 0.379
06/21/23, 0.390, 0.390, 0.373, 0.374
06/20/23, 0.395, 0.397, 0.380, 0.390
06/19/23, 0.404, 0.404, 0.392, 0.395
06/16/23, 0.432, 0.437, 0.402, 0.404
06/15/23, 0.431, 0.433, 0.422, 0.432
06/14/23, 0.421, 0.440, 0.421, 0.431
06/13/23, 0.429, 0.429, 0.416, 0.421
06/12/23, 0.435, 0.435, 0.418, 0.429
06/09/23, 0.442, 0.442, 0.427, 0.435
06/08/23, 0.418, 0.443, 0.418, 0.442
06/07/23, 0.423, 0.430, 0.415, 0.418
06/06/23, 0.434, 0.439, 0.421, 0.423
06/05/23, 0.416, 0.438, 0.416, 0.434
06/02/23, 0.420, 0.420, 0.405, 0.416
06/01/23, 0.433, 0.443, 0.418, 0.420
05/31/23, 0.436, 0.438, 0.418, 0.433
05/30/23, 0.436, 0.444, 0.432, 0.436
05/29/23, 0.422, 0.441, 0.418, 0.436
05/26/23, 0.430, 0.457, 0.419, 0.422
05/25/23, 0.409, 0.433, 0.409, 0.430
05/24/23, 0.404, 0.419, 0.400, 0.409
05/23/23, 0.387, 0.405, 0.336, 0.404
05/22/23, 0.407, 0.407, 0.387, 0.387
05/19/23, 0.385, 0.409, 0.385, 0.407
05/18/23, 0.369, 0.393, 0.369, 0.385
05/17/23, 0.396, 0.402, 0.358, 0.369
05/16/23, 0.408, 0.415, 0.392, 0.396
05/15/23, 0.389, 0.411, 0.389, 0.408
05/12/23, 0.392, 0.392, 0.366, 0.389
05/11/23, 0.416, 0.417, 0.389, 0.392
05/10/23, 0.425, 0.425, 0.414, 0.416
05/09/23, 0.412, 0.437, 0.412, 0.425
05/08/23, 0.423, 0.423, 0.408, 0.412
05/04/23, 0.423, 0.423, 0.423, 0.423
05/03/23, 0.423, 0.423, 0.423, 0.423
05/02/23, 0.403, 0.427, 0.403, 0.423
05/01/23, 0.389, 0.408, 0.384, 0.403
04/28/23, 0.460, 0.495, 0.383, 0.389
04/27/23, 0.463, 0.470, 0.459, 0.460
04/26/23, 0.480, 0.480, 0.457, 0.463
04/25/23, 0.472, 0.486, 0.472, 0.480
04/24/23, 0.462, 0.476, 0.462, 0.472
04/21/23, 0.470, 0.477, 0.461, 0.462
04/20/23, 0.478, 0.478, 0.465, 0.470
04/19/23, 0.476, 0.487, 0.469, 0.478
04/18/23, 0.482, 0.485, 0.472, 0.476
04/17/23, 0.461, 0.485, 0.461, 0.482
04/14/23, 0.465, 0.467, 0.458, 0.461
04/13/23, 0.466, 0.473, 0.455, 0.465
04/12/23, 0.454, 0.471, 0.454, 0.466
04/11/23, 0.469, 0.469, 0.448, 0.454
04/10/23, 0.459, 0.473, 0.459, 0.469
04/07/23, 0.471, 0.476, 0.452, 0.459
04/06/23, 0.469, 0.473, 0.458, 0.471
04/05/23, 0.416, 0.504, 0.416, 0.469
04/04/23, 0.371, 0.417, 0.370, 0.416
04/03/23, 0.330, 0.378, 0.330, 0.371
03/31/23, 0.326, 0.344, 0.318, 0.330
03/30/23, 0.306, 0.331, 0.306, 0.326
03/29/23, 0.314, 0.315, 0.292, 0.306
03/28/23, 0.294, 0.339, 0.294, 0.314
03/27/23, 0.276, 0.301, 0.276, 0.294
03/24/23, 0.306, 0.306, 0.274, 0.276
03/23/23, 0.334, 0.334, 0.291, 0.306
03/22/23, 0.246, 0.336, 0.243, 0.334
03/20/23, 0.273, 0.273, 0.212, 0.246
03/17/23, 0.297, 0.315, 0.266, 0.273
03/16/23, 0.316, 0.316, 0.255, 0.297
03/15/23, 0.283, 0.344, 0.268, 0.316
03/14/23, 0.306, 0.346, 0.190, 0.283
03/13/23, 0.393, 0.393, 0.304, 0.306
03/10/23, 0.504, 0.507, 0.388, 0.393
03/09/23, 0.507, 0.519, 0.498, 0.504
03/08/23, 0.505, 0.512, 0.502, 0.507
03/07/23, 0.504, 0.508, 0.494, 0.505
03/06/23, 0.506, 0.521, 0.500, 0.504
03/03/23, 0.497, 0.511, 0.497, 0.506
03/02/23, 0.508, 0.515, 0.495, 0.497
03/01/23, 0.503, 0.510, 0.486, 0.508
02/28/23, 0.505, 0.506, 0.494, 0.503
02/27/23, 0.505, 0.512, 0.500, 0.505
02/24/23, 0.503, 0.510, 0.490, 0.505
02/22/23, 0.503, 0.515, 0.501, 0.503
02/21/23, 0.505, 0.519, 0.501, 0.503
02/20/23, 0.503, 0.509, 0.496, 0.505
02/17/23, 0.507, 0.515, 0.501, 0.503
02/16/23, 0.507, 0.509, 0.501, 0.507
02/15/23, 0.504, 0.509, 0.498, 0.507
02/14/23, 0.504, 0.510, 0.500, 0.504
02/13/23, 0.491, 0.509, 0.491, 0.504
02/10/23, 0.498, 0.523, 0.489, 0.491
02/09/23, 0.497, 0.513, 0.491, 0.498
02/08/23, 0.495, 0.500, 0.487, 0.497
02/07/23, 0.500, 0.507, 0.494, 0.495
02/06/23, 0.490, 0.502, 0.489, 0.500
02/03/23, 0.500, 0.500, 0.480, 0.490
02/02/23, 0.482, 0.503, 0.468, 0.500
02/01/23, 0.499, 0.499, 0.476, 0.482
01/31/23, 0.481, 0.502, 0.479, 0.499
